호선,역명,구주소,도로명 주소,전화번호
1호선,청량리,서울 동대문구 왕산로 328-1,서울특별시 동대문구 왕산로 지하 205 (전농동) (청량리역),6110-1241
1호선,제기동,서울 동대문구 제기동 지하51번지,서울특별시 동대문구 왕산로 지하 93 (제기동) (제기동역),6110-1251
1호선,신설동,서울 동대문구 신설동 97-75,서울특별시 동대문구 왕산로 지하 1 (신설동) (1호선 신설동역),6110-1261
1호선,동묘앞,서울 종로구 숭인동 117번지,서울특별시 종로구 종로 359 (숭인동) (1호선 동묘앞역),6110-1271
1호선,동대문,서울 종로구 창신1동 552,서울특별시 종로구 종로 지하 302 (창신1동) (1호선 동대문역),6110-1281
1호선,종로5가,서울 종로구 종로5가 124-8,서울특별시 종로구 종로 지하 216  (종로5가) (1호선 종로5가역),6110-1291
1호선,종로3가,서울종로구 탑골공원길3,서울특별시 종로구 종로 지하 129 (종로3가) (1호선 종로3가역),6110-1301
1호선,종각,서울 종로구 종로1가 44번지,서울특별시 종로구 종로 지하 55 (종로1가) (종각역),6110-1311
1호선,시청,서울 중구 태평로1가 31,서울특별시 세종대로 지하 101 (정동) (1호선 시청역),6110-1321
1호선,서울역,서울 중구 봉래동2가 122,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역),6110-1331
2호선,시청,서울 중구 서소문동 27,서울특별시 중구 서소문로 지하 127 (서소문동) (2호선 시청역),6110-2011
2호선,을지로입구,서울 중구 을지로1가 89-1,서울특별시 중구 을지로 지하 42 (을지입구역),6110-2021
2호선,을지로3가,서울 중구 을지로3가 70-1,서울특별시 중구 을지로 지하 106 (2호선 을지로3가역),6110-2031
2호선,을지로4가,서울 중구 을지로4가 261-1,서울특별시 중구 을지로 지하 178 (2호선 을지로4가역),6110-2041
2호선,동대문역사문화공원,서울 중구 을지로7가 1,서울특별시 중구 을지로 지하 279 (2호선 동대문역역사문화공원역),6110-2051
2호선,신당,서울 중구 신당5동 106-1,서울특별시 중구 퇴계로 지하 431-1 (2호선 신당역),6110-2061
2호선,상왕십리,서울 성동구 하왕십리2동 946-14,서울특별시 성동구 왕십리로 지하 374 (상왕십리역),6110-2071
2호선,왕십리,서울 성동구 행당1동 246,서울특별시 성동구 왕십리로 지하300 (2호선 왕십리역),6110-2081
2호선,한양대,서울 성동구 행당동 산 17,서울특별시 성동구 왕십리로 206 (한양대역),6110-2091
2호선,뚝섬,서울 성동구 성수1가2동 656-745,서울특별시 성동구 아차산로18 (뚝섬역),6110-2101
2호선,성수,서울 성동구 성수2가 3동 300-1,서울특별시 성동구 아차산로 100 (성수역),6110-2111
2호선,건대입구,서울 광진구 구의로 231,서울특별시 광진구 아차산로 243 (2호선 건대입구역),6110-2121
2호선,구의,서울 광진구 구의동 245-24,서울특별시 광진구 아차산로 384-1 (구의역),6110-2131
2호선,강변,서울 광진구 구의3동 546-6,서울특별시 광진구 강변역로 53 (강변역),6110-2141
2호선,잠실나루,서울 송파구 신천동 1번지,서울특별시 송파구 오금로 20 (잠실나루역),6110-2151
2호선,잠실,서울 송파구 잠실동 27,서울특별시 송파구 올림픽로 지하 265 (2호선 잠실역),6110-2161
2호선,신천,서울 송파구 잠실본동 5,서울특별시 송파구 올림픽로 지하 140 (신천역),6110-2171
2호선,종합운동장,서울 송파구 잠실동 1-236,서울특별시 송파구 올림픽로 지하 23 (종합운동장역),6110-2181
2호선,삼성,서울 강남구 삼성동 172-82,서울특별시 강남구 테헤란로 지하 538 (삼성역),6110-2191
2호선,선릉,서울 강남구 삼성2동 143-42,서울특별시 강남구 테헤란로 지하 340 (2호선 선릉역),6110-2201
2호선,역삼,서울 강남구 역삼1동 737,서울특별시 강남구 테헤란로 지하 156 (역삼역),6110-2211
2호선,강남,서울 강남구 역삼동 821-1,서울특별시 강남구 강남대로 지하 396 (2호선 강남역),6110-2221
2호선,교대,서울 서초구 서초1동 1715-9,서울특별시 서초구 서초대로 지하 294 (2호선 교대역),6110-2231
2호선,서초,서울 서초구 서초3동 1500,서울특별시 서초구 서초대로 지하 233 (서초역),6110-2241
2호선,방배,서울 서초구 방배동 225,서울특별시 서초구 방배로 지하 80 (방배역),6110-2251
2호선,사당,서울 동작구 사당1동 1112번지,서울특별시 동작구 남부순환로 지하 2089(사당동) (2호선 사당역),6110-2261
2호선,낙성대,서울 관악구 봉천6동 1693-38,서울특별시 관악구 남부순환로 지하 1928(봉천동) (2호선 낙성대역),6110-2271
2호선,서울대입구,서울 관악구 봉천6동 979-1,서울특별시 관악구 남부순환로 지하 1822 (서울대입구역),6110-2281
2호선,봉천,서울 관악구 봉천8동 930-45,서울특별시 관악구 남부순환로 지하 1721 (봉천역),6110-2291
2호선,신림,서울 관악구 신림본동 1640-1,서울특별시 관악구 남부순환로 지하 1614 (신림역),6110-2301
2호선,신대방,서울 동작구 신대방1동 643-1,"서울특별시 동작구 대림로 2(신대방동, 신대방역)",6110-2310
2호선,구로디지털단지,서울 구로구 구로3동 125-66,서울특별시 구로구 도림천로 477 (구로디지털단지역),6110-2321
2호선,대림,서울 구로구 구로6동 125-66,서울특별시 구로구 도림천로 352 (2호선 대림역),6110-2331
2호선,신도림,서울 구로구 신도림동 460-26,서울특별시 구로구 새말로 117-21 (2호선 신도림역),6110-2341
2호선,문래,서울 영등포구 문래동 3가 54,서울특별시 영등포구 당산로 지하 28(문래동3가) (문래역),6110-2351
2호선,영등포구청,서울 영등포구 당산동 3가 385,서울특별시 영등포구 당산로 121(당산동3가) (2호선 영등포구청역),6110-2361
2호선,당산,서울 영등포구 당산동 5가 323-1,서울특별시 영등포구 당산로 229(당산동 6가) (2호선 당산역),6110-2371
2호선,합정,서울 마포구 서교동 393,서울특별시 마포구 양화로 지하 55 (2호선 합정역),6110-2381
2호선,홍대입구,서울 마포구 동교동 165,서울특별시 마포구 양화로지하160 (2호선 홍대입구역),6110-2391
2호선,신촌,서울 마포구 노고산동 31-11,서울특별시 마포구 신촌로 지하 90 (신촌역),6110-2401
2호선,이대,서울 마포구 대흥동 2,서울특별시 마포구 신촌로 지하180 (이대역),6110-2411
2호선,아현,서울특별시 마포구 신촌로 지하60,서울특별시 마포구 신촌로 지하 270 (2호선 아현역),6110-2421
2호선,충정로,서울 서대문구 충정로 3가 295-60,서울특별시 서대문구 서소문로 지하 17 (2호선 충정로역),6110-2431
2호선,용답,서울 성동구 용답동 127,서울특별시 성동구 용답길 86 (용답역),6110-1341
2호선,신답,서울 성동구 용답동 128,서울특별시 성동구 천호대로 232 (신답역),6110-1351
2호선,용두,서울 동대문구 신설동 97-75,서울특별시 동대문구 천호대로 지하 129 (용두역),6110-1361
2호선,신설동,서울 구로구 신도림동 271-62,서울특별시 동대문구 왕산로 지하 1 (신설동) (2호선 신설동역),6110-1371
2호선,도림천,서울 양천구 신정7동 165-1,서울특별시 구로구 신도림동 경인로 67길 (도림천역),6110-2441
2호선,양천구청,서울 양천구 신정3동 1231,서울특별시 양천구 목동로3길 지하 33 (신정동 양천구청역),6110-2451
2호선,신정네거리,서울시 동대문구 용두동 47-1,서울특별시 양천구 중앙로 지하 261 (2호선 신정네거리역),6110-2461
2호선,까치산,서울특별시 강서구 화곡동 662-5,서울특별시 강서구 강서로 지하54 (까치산역),
3호선,지축,경기도 고양시 덕양구 지축동 695-8,경기도 고양시 덕양구 삼송로 300 (지축역),6110-3191
3호선,구파발,서울시 은평구 진관동 69-9번지,서울특별시 은평구 진관2로 지하 15-25 (구파발역),6110-3201
3호선,연신내,서울특별시 은평구 갈현동 439,서울특별시 은평구 통일로 지하 849 3호선 (연신내역),6110-3211
3호선,불광,서울특별시 은평구 불광동 281,서울특별시 은평구 통일로 지하 723-1 3호선 (불광역),6110-3221
3호선,녹번,서울특별시 은평구 녹번동 48,서울특별시 은평구 통일로 지하 602-1 (녹번역),6110-3231
3호선,홍제,서울특별시 서대문구 홍제동 330-66,서울특별시 서대문구 통일로 지하 440-1 (홍제역),6110-3241
3호선,무악재,서울특별시 서대문구 홍제2동 26-1,서울특별시 서대문구 통일로 지하 361 (무악재역),6110-3251
3호선,독립문,서울특별시 서대문구 현저동 101,서울특별시 서대문구 통일로 지하 247 (독립문역),6110-3261
3호선,경복궁,서울시 종로구 사직로 49,서울특별시 종로구 사직로 지하 130 (경복궁역),6110-3271
3호선,안국,서울특별시 종로구 안국동 148,서울특별시 종로구 율곡로 지하 53 (안국역),6110-3281
3호선,종로3가,서울특별시 종로구 묘동 59,서울특별시 종로구 돈화문로 지하 30 (묘동) (3호선 종로3가역),6110-3291
3호선,을지로3가,서울특별시 중구 을지로3가 118,서울특별시 중구 을지로 지하 129 (3호선 을지로3가역),6110-3301
3호선,충무로,서울특별시 중구 충무로4가 125, 서울특별시 중구 퇴계로 지하199(충무로역),6110-4231
3호선,동대입구,서울특별시 중구 장충동2가 189-2,서울특별시 중구 동호로 지하 256 (동대입구역),6110-3321
3호선,약수,서울시 중구 신당3동 369-44,서울특별시 중구 다산로 지하 122 (3호선 약수역),6110-3331
3호선,금호,서울특별시 성동구 금호동4가 1470,서울특별시 성동구 동호로 지하 104 (금호역),6110-3341
3호선,옥수,서울특별시 성동구 옥수동 168-1,서울특별시 성동구 동호로 지하 21 (3호선 옥수역),6110-3351
3호선,압구정,서울특별시 강남구 압구정동 668,서울특별시 강남구 압구정로 지하 172 (압구정역),6110-3361
3호선,신사,서울특별시 강남구 신사동 501,서울특별시 강남구 도산대로 지하 102 (신사역),6110-3371
3호선,잠원,서울특별시 서초구 잠원동 65-17,서울특별시 서초구 잠원로 4길 지하 46 (잠원역),6110-3381
3호선,고속터미널,서울특별시 서초구 반포4동 19-4 ,서울특별시 서초구 신반포로 지하 188 (3호선 고속터미널역),6110-3391
3호선,교대,서울특별시 서초구 서초3동 1715-9,서울특별시 서초구 서초대로 지하 294 (3호선 교대역),6110-3401
3호선,남부터미널,서울특별시 서초구 서초3동 1446-1,서울특별시 서초구 서초중앙로 지하 31 (남부터미널역),6110-3411
3호선,양재,서울특별시 서초구 양재1동 산 27-2,서울특별시 서초구 남부순환로 지하 2585 (3호선 양재역),6110-3421
3호선,매봉,서울특별시 강남구 도곡2동 464-1,서울특별시 강남구 남부순환로 지하 2744 (매봉역),6110-3431
3호선,도곡,서울특별시 강남구 도곡2동 467-5,서울특별시 강남구 남부순환로 지하 2814 (3호선 도곡역),6110-3441
3호선,대치,서울특별시 강남구 대치2동 509,서울특별시 강남구 남부순환로 지하 2952 (대치역),6110-3451
3호선,학여울,서울특별시 강남구 대치동 514,서울특별시 강남구 남부순환로 지하 3104 (학여울),6110-3461
