시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,54.98,201804,1~10,"107,500",5,1987,언주로
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,41.98,201804,1~10,"156,000",5,1982,개포로
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.64,201804,1~10,"180,000",5,1982,개포로
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,35.64,201804,1~10,"142,000",3,1982,개포로
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.38,201804,1~10,"159,500",4,1982,개포로
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.64,201804,1~10,"163,000",3,1982,개포로
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,73.02,201804,1~10,"151,000",1,1983,개포로
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,53.06,201804,11~20,"128,000",3,1983,개포로
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,201804,1~10,"76,500",10,1992,개포로109길
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,201804,11~20,"88,000",6,1992,개포로109길
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,201804,11~20,"101,400",11,1992,개포로109길
서울특별시 강남구 개포동,653,653,0,현대1차101동~106동,177.19,201804,1~10,"203,000",9,1984,개포로
서울특별시 강남구 논현동,215-14,215,14,논현아트빌,90.38,201804,21~30,"66,750",1,2003,논현로124길
서울특별시 강남구 논현동,Feb-58,58,2,마일스디오빌,36.29,201804,11~20,"42,000",15,2004,학동로
서울특별시 강남구 논현동,103,103,0,쌍용,84.87,201804,1~10,"81,000",3,1996,도산대로50길
서울특별시 강남구 대치동,1014-3,1014,3,대치삼성,84.58,201804,1~10,"162,000",9,2000,도곡로78길
서울특별시 강남구 대치동,1027,1027,0,래미안대치팰리스,94.5,201804,1~10,"247,000",6,2015,삼성로51길
서울특별시 강남구 대치동,891-6,891,6,테헤란로대우아이빌(891-6),33.11,201804,11~20,"34,500",23,2004,테헤란로
서울특별시 강남구 대치동,891-6,891,6,테헤란로대우아이빌(891-6),30.46,201804,21~30,"31,000",4,2004,테헤란로
서울특별시 강남구 대치동,894,894,0,현대썬앤빌 테헤란,33.09,201804,1~10,"48,200",6,2016,삼성로85길
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,177.255,201804,1~10,"170,000",3,2002,언주로30길
서울특별시 강남구 도곡동,465,465,0,우성4,152.74,201804,1~10,"243,000",5,1985,언주로
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,164.99,201804,11~20,"223,000",10,2003,언주로30길
서울특별시 강남구 삼성동,142-7,142,7,LG선릉에클라트(A),41.64,201804,1~10,"36,000",6,2003,선릉로100길
서울특별시 강남구 삼성동,108-2,108,2,동구싼타빌,71.28,201804,11~20,"52,000",5,2004,영동대로112길
서울특별시 강남구 삼성동,37,37,0,호산프라자,33.21,201804,11~20,"20,000",5,1997,선릉로
서울특별시 강남구 세곡동,525,525,0,세곡리엔파크(5단지),84.95,201804,11~20,"97,500",4,2011,헌릉로590길
서울특별시 강남구 세곡동,533,533,0,세곡푸르지오,74.74,201804,1~10,"103,000",13,2012,자곡로
서울특별시 강남구 세곡동,533,533,0,세곡푸르지오,84.83,201804,11~20,"109,000",15,2012,자곡로
서울특별시 강남구 수서동,BL-1,1,0,강남데시앙포레,59.88,201804,1~10,"108,500",12,2014,광평로34길
서울특별시 강남구 수서동,BL-1,1,0,강남데시앙포레,84.86,201804,1~10,"134,000",12,2014,광평로34길
서울특별시 강남구 역삼동,727-2,727,2,대명벨리온,17.684,201804,1~10,"24,000",3,2012,역삼로25길
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,59.145,201804,11~20,"55,000",5,2002,언주로
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,201804,11~20,"28,700",7,2002,언주로
서울특별시 강남구 역삼동,706-11,706,11,우림루미아트1,24,201804,11~20,"20,500",7,2003,언주로90길
서울특별시 강남구 일원동,711,711,0,수서,52.29,201804,11~20,"54,000",7,1992,양재대로55길
서울특별시 강남구 일원동,615,615,0,우성7,68.39,201804,1~10,"100,000",9,1987,개포로110길
서울특별시 강남구 자곡동,611,611,0,래미안강남힐즈,91.96,201804,1~10,"135,000",4,2014,자곡로
서울특별시 강남구 자곡동,611,611,0,래미안강남힐즈,101.94,201804,11~20,"144,500",7,2014,자곡로
서울특별시 강남구 자곡동,611,611,0,래미안강남힐즈,91.96,201804,11~20,"139,500",9,2014,자곡로
서울특별시 강남구 청담동,134-38,134,38,청담자이,89.115,201804,1~10,"260,000",22,2012,영동대로138길
서울특별시 강남구 청담동,102-1,102,1,청담파라곤Ⅱ 1단지,195.88,201804,1~10,"270,000",4,2010,압구정로71길
서울특별시 강남구 청담동,127-31,127,31,청담현대3차아파트,85,201804,11~20,"95,000",4,1999,도산대로101길
서울특별시 강동구 고덕동,688,688,0,고덕래미안 힐스테이트아파트,97.26,201804,21~30,"140,000",28,2016,아리수로50길
서울특별시 강동구 고덕동,312,312,0,배재현대,84.9,201804,11~20,"71,000",21,1995,고덕로61길
서울특별시 강동구 길동,415-13,415,13,강동큐브(2차),12.52,201804,1~10,"11,400",11,2013,진황도로
서울특별시 강동구 길동,415-13,415,13,강동큐브(2차),14.32,201804,1~10,"12,000",8,2013,진황도로
서울특별시 강동구 길동,415-13,415,13,강동큐브(2차),15.12,201804,1~10,"12,850",6,2013,진황도로
서울특별시 강동구 길동,414-10,414,10,강동한신휴플러스,84.98,201804,11~20,"43,800",8,2006,진황도로
서울특별시 강동구 길동,400,400,0,길동우성,40.36,201804,1~10,"35,000",3,1994,천호대로193길
서울특별시 강동구 길동,400,400,0,길동우성,84.75,201804,1~10,"61,000",8,1994,천호대로193길
서울특별시 강동구 길동,53,53,0,삼익파크맨션,79.57,201804,1~10,"56,500",4,1982,명일로
서울특별시 강동구 길동,358-7,358,7,신대길파크하임,84.79,201804,1~10,"44,500",4,2004,양재대로
서울특별시 강동구 길동,160,160,0,신동아,102.78,201804,1~10,"61,500",2,1983,천중로
서울특별시 강동구 길동,160,160,0,신동아,60.42,201804,11~20,"44,800",8,1983,천중로
서울특별시 강동구 길동,160,160,0,신동아,85.46,201804,11~20,"56,000",6,1983,천중로
서울특별시 강동구 길동,343-1,343,1,현대웰하임(101동),16.959,201804,1~10,"12,850",11,2012,천중로53길
서울특별시 강동구 둔촌동,174-1,174,1,둔촌주공2단지,88.26,201804,11~20,"142,500",1,1980,양재대로
서울특별시 강동구 둔촌동,174-1,174,1,둔촌주공3단지,96.75,201804,1~10,"128,000",4,1980,양재대로
서울특별시 강동구 둔촌동,174-1,174,1,둔촌주공3단지,96.75,201804,11~20,"128,000",8,1980,양재대로
서울특별시 강동구 둔촌동,170-1,170,1,둔촌주공4단지,99.61,201804,11~20,"137,000",1,1980,양재대로
서울특별시 강동구 둔촌동,134-10,134,10,신성둔촌미소지움2,84.78,201804,11~20,"60,000",1,2000,진황도로
서울특별시 강동구 명일동,332,332,0,명일엘지,84.9,201804,1~10,"61,750",8,1999,상암로51길
서울특별시 강동구 명일동,15,15,0,삼익그린2차,84.755,201804,1~10,"88,400",5,1983,고덕로
서울특별시 강동구 상일동,515,515,0,고덕숲아이파크,59.97,201804,1~10,"74,000",3,2017,구천면로
서울특별시 강동구 상일동,515,515,0,고덕숲아이파크,59.97,201804,1~10,"70,000",21,2017,구천면로
서울특별시 강동구 상일동,515,515,0,고덕숲아이파크,59.97,201804,1~10,"75,000",12,2017,구천면로
서울특별시 강동구 상일동,515,515,0,고덕숲아이파크,59.97,201804,1~10,"70,000",19,2017,구천면로
서울특별시 강동구 상일동,515,515,0,고덕숲아이파크,59.97,201804,11~20,"75,000",5,2017,구천면로
서울특별시 강동구 상일동,515,515,0,고덕숲아이파크,59.97,201804,11~20,"71,000",4,2017,구천면로
서울특별시 강동구 상일동,515,515,0,고덕숲아이파크,59.97,201804,11~20,"71,000",12,2017,구천면로
서울특별시 강동구 상일동,515,515,0,고덕숲아이파크,84.97,201804,21~30,"83,500",8,2017,구천면로
서울특별시 강동구 상일동,515,515,0,고덕숲아이파크,59.97,201804,21~30,"70,000",5,2017,구천면로
서울특별시 강동구 상일동,515,515,0,고덕숲아이파크,59.97,201804,21~30,"65,500",7,2017,구천면로
서울특별시 강동구 상일동,515,515,0,고덕숲아이파크,84.85,201804,21~30,"87,000",9,2017,구천면로
서울특별시 강동구 상일동,515,515,0,고덕숲아이파크,84.85,201804,21~30,"84,000",19,2017,구천면로
서울특별시 강동구 상일동,515,515,0,고덕숲아이파크,59.97,201804,21~30,"72,000",11,2017,구천면로
서울특별시 강동구 상일동,473,473,0,동아,59.25,201804,1~10,"37,000",7,1997,상암로81길
서울특별시 강동구 상일동,134,134,0,주공4,48.6,201804,11~20,"71,000",4,1983,고덕로80길
서울특별시 강동구 성내동,244-6,244,6,건영아모리움,11.6657,201804,1~10,"13,200",11,2017,천호대로176길
서울특별시 강동구 암사동,466-3,466,3,내일쎄닛빌,79.2,201804,1~10,"38,500",1,2007,고덕로20나길
서울특별시 강동구 암사동,414-2,414,2,롯데캐슬퍼스트,59.99,201804,1~10,"77,000",6,2008,고덕로
서울특별시 강동구 암사동,414-2,414,2,롯데캐슬퍼스트,59.99,201804,11~20,"82,000",15,2008,고덕로
서울특별시 강동구 암사동,414-2,414,2,롯데캐슬퍼스트,59.99,201804,11~20,"76,700",9,2008,고덕로
서울특별시 강동구 암사동,508,508,0,삼성광나루,59.69,201804,1~10,"60,000",19,2002,상암로3길
서울특별시 강동구 암사동,508,508,0,삼성광나루,84.88,201804,1~10,"67,700",7,2002,상암로3길
서울특별시 강동구 암사동,508,508,0,삼성광나루,59.69,201804,1~10,"59,500",25,2002,상암로3길
서울특별시 강동구 암사동,493-14,493,14,중앙하이츠,104.36,201804,1~10,"42,000",11,1998,올림픽로98가길
서울특별시 강동구 암사동,672,672,0,효정하나플러스,84.45,201804,1~10,"37,100",1,2003,구천면로47길
서울특별시 강동구 천호동,155-5,155,5,강동역두산위브센티움,25.96,201804,1~10,"16,900",7,2004,성안로
서울특별시 강동구 천호동,06월 22일,22,6,고려(A),48.69,201804,21~30,"29,500",9,2000,상암로41길
서울특별시 강동구 천호동,44,44,0,금호,27.61,201804,11~20,"25,000",4,1987,양재대로
서울특별시 강동구 천호동,414,414,0,두산위브센티움,31.37,201804,1~10,"16,800",7,2004,올림픽로70길
서울특별시 강동구 천호동,Jul-54,54,7,율전에버그린,79.38,201804,11~20,"41,900",4,2005,천중로39길
서울특별시 강동구 천호동,333-55,333,55,천호e편한세상,84.95,201804,21~30,"60,000",10,2005,올림픽로81길
서울특별시 강동구 천호동,237,237,0,한신,81.6,201804,11~20,"46,000",8,1991,구천면로42길
서울특별시 강동구 천호동,168-6,168,6,현대,68.68,201804,1~10,"49,000",7,1990,진황도로
서울특별시 강동구 천호동,168-6,168,6,현대,44.1,201804,11~20,"33,000",1,1990,진황도로
서울특별시 강동구 천호동,467-11,467,11,현진리버파크,23.24,201804,1~10,"28,000",6,2017,구천면로
서울특별시 강동구 천호동,467-11,467,11,현진리버파크,24.77,201804,11~20,"28,000",4,2017,구천면로
서울특별시 강북구 미아동,1356,1356,0,경남아너스빌(1356-0),84.873,201804,1~10,"46,800",8,2003,오패산로30길
서울특별시 강북구 미아동,1356,1356,0,경남아너스빌(1356-0),114.922,201804,21~30,"52,800",10,2003,오패산로30길
서울특별시 강북구 미아동,4,4,0,꿈의숲롯데캐슬,84.98,201804,1~10,"58,000",3,2017,오현로
서울특별시 강북구 미아동,4,4,0,꿈의숲롯데캐슬,59.98,201804,11~20,"50,000",9,2017,오현로
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,59.54,201804,1~10,"46,700",20,2011,삼양로27길
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.99,201804,11~20,"49,800",7,2011,삼양로27길
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.99,201804,21~30,"49,500",4,2011,삼양로27길
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.97,201804,21~30,"51,500",8,2011,삼양로27길
서울특별시 강북구 미아동,813,813,0,래미안트리베라1단지,59.6,201804,1~10,"45,000",8,2010,삼양로19길
서울특별시 강북구 미아동,813,813,0,래미안트리베라1단지,84.97,201804,1~10,"56,000",9,2010,삼양로19길
서울특별시 강북구 미아동,813,813,0,래미안트리베라1단지,114.98,201804,21~30,"60,000",20,2010,삼양로19길
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,84.89,201804,1~10,"41,500",3,2004,솔샘로
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,201804,1~10,"43,150",17,2003,삼양로19길
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,201804,1~10,"42,500",10,2003,삼양로19길
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,201804,21~30,"44,500",16,2003,삼양로19길
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,113.89,201804,1~10,"63,800",6,2010,삼양로27길
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,84.18,201804,1~10,"58,000",17,2010,삼양로27길
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.33,201804,11~20,"45,500",9,2010,삼양로27길
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,113.89,201804,21~30,"64,000",23,2010,삼양로27길
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,84.15,201804,21~30,"62,900",17,2010,삼양로27길
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,114.85,201804,1~10,"49,800",18,2004,솔샘로
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.76,201804,1~10,"41,900",5,2004,솔샘로
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,201804,1~10,"36,200",8,2004,솔샘로
서울특별시 강북구 미아동,160-3,160,3,푸르지오시티,18.6479,201804,1~10,"14,300",3,2014,도봉로
서울특별시 강북구 미아동,160-3,160,3,푸르지오시티,18.6479,201804,11~20,"14,850",7,2014,도봉로
서울특별시 강북구 미아동,302-33,302,33,현대쉐르빌,72.87,201804,21~30,"27,800",2,2003,도봉로49길
서울특별시 강북구 번동,191,191,0,기산그린,59.94,201804,1~10,"27,000",8,2000,월계로37길
서울특별시 강북구 번동,136,136,0,번동솔그린,59.82,201804,11~20,"27,300",4,1999,한천로109길
서울특별시 강북구 번동,760,760,0,오동공원현대,84.7848,201804,21~30,"36,000",2,2001,오현로31길
서울특별시 강북구 번동,242,242,0,주공1단지,71.89,201804,1~10,"34,400",4,1991,한천로105길
서울특별시 강북구 번동,242,242,0,주공1단지,49.94,201804,11~20,"29,800",3,1991,한천로105길
서울특별시 강북구 번동,234,234,0,주공4단지,59.22,201804,1~10,"30,300",11,1991,오현로
서울특별시 강북구 번동,138,138,0,한솔솔파크,84.88,201804,1~10,"40,600",2,2005,오현로
서울특별시 강북구 번동,133-1,133,1,한양(133-1),84.67,201804,1~10,"34,900",12,1992,한천로109길
서울특별시 강북구 번동,133-1,133,1,한양(133-1),84.67,201804,21~30,"33,500",10,1992,한천로109길
서울특별시 강북구 번동,271-2,271,2,현대꿈에그린,84.66,201804,1~10,"28,000",5,2001,월계로37길
서울특별시 강북구 수유동,177-2,177,2,다경하이빌,77.52,201804,1~10,"26,100",2,2008,한천로140길
