시군구,번지,단지명,전용면적,거래금액
서울특별시 마포구 공덕동,371,공덕1삼성래미안,114.88,"85,500"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,59.74,"63,900"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,59.74,"65,000"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,59.74,"68,000"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,114.88,"97,000"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,84.94,"84,000"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,114.88,"90,000"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,59.74,"70,000"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,59.74,"69,500"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,114.88,"100,000"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,59.74,"66,000"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,84.94,"90,000"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,114.88,"109,000"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,84.94,"76,000"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,114.87,"90,000"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,114.87,"89,000"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,114.87,"86,000"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,114.87,"90,000"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,84.94,"77,500"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,84.94,"53,800"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,84.94,"86,500"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,59.97,"73,500"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,59.97,"75,000"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,59.97,"78,000"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,114.87,"93,000"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,59.97,"75,000"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,84.94,"87,500"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,84.94,"88,000"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,59.97,"78,500"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,59.97,"81,000"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,84.98,"99,000"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,114.98,"125,000"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,84.98,"105,000"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,59.97,"83,500"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,84.98,"103,000"
서울특별시 마포구 공덕동,476,공덕파크자이,84.8852,"117,000"
서울특별시 마포구 공덕동,476,공덕파크자이,121.4551,"155,000"
서울특별시 마포구 공덕동,476,공덕파크자이,149.0423,"175,000"
서울특별시 마포구 공덕동,370-9,공덕현대,84.61,"59,000"
서울특별시 마포구 공덕동,370-9,공덕현대,84.61,"61,500"
서울특별시 마포구 공덕동,370-9,공덕현대,71.82,"60,000"
서울특별시 마포구 공덕동,370-9,공덕현대,84.61,"66,800"
서울특별시 마포구 공덕동,370-9,공덕현대,84.61,"66,800"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"74,500"
서울특별시 마포구 공덕동,464,래미안공덕4차,83.42,"84,700"
서울특별시 마포구 공덕동,464,래미안공덕4차,112.71,"96,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"74,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"70,500"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"72,700"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"72,800"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"74,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"72,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,83.42,"87,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"67,300"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"72,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"74,900"
서울특별시 마포구 공덕동,464,래미안공덕4차,83.42,"89,700"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"77,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"80,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"78,500"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"85,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"78,800"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.959,"78,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.959,"71,500"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.968,"79,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.959,"68,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,84.871,"85,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,113.866,"100,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.97,"84,500"
서울특별시 마포구 공덕동,469,래미안공덕5차,113.866,"120,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.959,"79,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,84.851,"96,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.959,"85,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.959,"87,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.959,"89,500"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.959,"88,500"
서울특별시 마포구 공덕동,111-7,로즈빌A,76.04,"44,000"
서울특별시 마포구 공덕동,467,롯데캐슬프레지던트,245.39,"310,000"
서울특별시 마포구 공덕동,467,롯데캐슬프레지던트,191.872,"147,000"
서울특별시 마포구 공덕동,467,롯데캐슬프레지던트,191.872,"150,000"
서울특별시 마포구 공덕동,467,롯데캐슬프레지던트,191.532,"164,000"
서울특별시 마포구 공덕동,467,롯데캐슬프레지던트,191.872,"147,000"
서울특별시 마포구 공덕동,462,마포공덕파크팰리스Ⅱ,119.07,"76,500"
서울특별시 마포구 공덕동,462,마포공덕파크팰리스Ⅱ,141.46,"83,000"
서울특별시 마포구 공덕동,188-108,마포현대,59.95,"49,000"
서울특별시 마포구 공덕동,188-108,마포현대,84.87,"62,000"
서울특별시 마포구 공덕동,188-108,마포현대,72.49,"59,000"
서울특별시 마포구 공덕동,188-108,마포현대,84.87,"64,000"
서울특별시 마포구 공덕동,188-108,마포현대,84.87,"67,700"
서울특별시 마포구 공덕동,188-108,마포현대,72.49,"56,500"
서울특별시 마포구 공덕동,188-108,마포현대,72.49,"65,000"
서울특별시 마포구 공덕동,188-108,마포현대,59.95,"51,900"
서울특별시 마포구 공덕동,188-108,마포현대,59.95,"50,000"
서울특별시 마포구 공덕동,460,한화꿈에그린,84.939,"82,000"
서울특별시 마포구 공덕동,460,한화꿈에그린,113.667,"88,000"
서울특별시 마포구 공덕동,460,한화꿈에그린,84.939,"76,900"
서울특별시 마포구 공덕동,460,한화꿈에그린,113.667,"93,800"
서울특별시 마포구 공덕동,460,한화꿈에그린,84.939,"80,000"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,32.34,"28,000"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,32.34,"29,300"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,32.34,"28,000"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,32.34,"29,000"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,32.34,"29,000"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,32.34,"29,000"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,32.34,"29,000"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,29.03,"27,900"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,32.34,"28,000"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,32.34,"29,500"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,32.34,"29,950"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,32.34,"31,500"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,32.34,"29,000"
서울특별시 마포구 노고산동,107-36,현대벤처빌,34.64,"27,700"
서울특별시 마포구 노고산동,107-36,현대벤처빌,31.57,"23,000"
서울특별시 마포구 노고산동,107-36,현대벤처빌,41.58,"28,700"
서울특별시 마포구 노고산동,107-36,현대벤처빌,34.64,"28,000"
서울특별시 마포구 노고산동,107-36,현대벤처빌,36,"28,000"
서울특별시 마포구 대흥동,802,대흥동세양,60,"53,000"
서울특별시 마포구 대흥동,802,대흥동세양,84.6,"66,000"
서울특별시 마포구 대흥동,802,대흥동세양,60,"26,000"
서울특별시 마포구 대흥동,802,대흥동세양,114.24,"80,000"
서울특별시 마포구 대흥동,802,대흥동세양,60,"60,000"
서울특별시 마포구 대흥동,804,마포자이2차,118.56,"125,000"
서울특별시 마포구 대흥동,804,마포자이2차,84.95,"104,500"
서울특별시 마포구 대흥동,804,마포자이2차,118.79,"125,000"
서울특별시 마포구 대흥동,804,마포자이2차,84.44,"104,000"
서울특별시 마포구 대흥동,804,마포자이2차,84.44,"111,000"
서울특별시 마포구 대흥동,804,마포자이2차,118.79,"135,000"
서울특별시 마포구 대흥동,804,마포자이2차,118.79,"127,000"
서울특별시 마포구 대흥동,804,마포자이2차,118.79,"95,000"
