역명,구주소
시청,서울 중구 서소문동 27
을지로입구,서울 중구 을지로1가 89-1
을지로3가,서울 중구 을지로3가 70-1
을지로4가,서울 중구 을지로4가 261-1
동대문역사문화공원,서울 중구 을지로7가 1
신당,서울 중구 신당5동 106-1
상왕십리,서울 성동구 하왕십리2동 946-14
왕십리,서울 성동구 행당1동 246
한양대,서울 성동구 행당동 산 17
뚝섬,서울 성동구 성수1가2동 656-745
성수,서울 성동구 성수2가 3동 300-1
건대입구,서울 광진구 구의로 231
구의,서울 광진구 구의동 245-24
강변,서울 광진구 구의3동 546-6
잠실나루,서울 송파구 신천동 1번지
잠실,서울 송파구 잠실동 27
신천,서울 송파구 잠실본동 5
종합운동장,서울 송파구 잠실동 1-236
삼성,서울 강남구 삼성동 172-82
선릉,서울 강남구 삼성2동 143-42
역삼,서울 강남구 역삼1동 737
강남,서울 강남구 역삼동 821-1
교대,서울 서초구 서초1동 1715-9
서초,서울 서초구 서초3동 1500
방배,서울 서초구 방배동 225
사당,서울 동작구 사당1동 1112번지
낙성대,서울 관악구 봉천6동 1693-38
서울대입구,서울 관악구 봉천6동 979-1
봉천,서울 관악구 봉천8동 930-45
신림,서울 관악구 신림본동 1640-1
신대방,서울 동작구 신대방1동 643-1
구로디지털단지,서울 구로구 구로3동 125-66
대림,서울 구로구 구로6동 125-66
신도림,서울 구로구 신도림동 460-26
문래,서울 영등포구 문래동 3가 54
영등포구청,서울 영등포구 당산동 3가 385
당산,서울 영등포구 당산동 5가 323-1
합정,서울 마포구 서교동 393
홍대입구,서울 마포구 동교동 165
신촌,서울 마포구 노고산동 31-11
이대,서울 마포구 대흥동 2
아현,서울특별시 마포구 신촌로 지하60
충정로,서울 서대문구 충정로 3가 295-60
용답,서울 성동구 용답동 127
신답,서울 성동구 용답동 128
용두,서울 동대문구 신설동 97-75
신설동,서울 구로구 신도림동 271-62
도림천,서울 양천구 신정7동 165-1
양천구청,서울 양천구 신정3동 1231
신정네거리,서울시 동대문구 용두동 47-1
까치산,서울특별시 강서구 화곡동 662-5
